🧵 [Task 1] Started: 2025-01-01 to 2025-01-01
🧵 [Task 2] Started: 2025-01-02 to 2025-01-02
🧵 [Task 3] Started: 2025-01-03 to 2025-01-03
🧵 [Task 4] Started: 2025-01-04 to 2025-01-04
   ↳ [Task 3] Page 1 | Got 200 txs | Reached: 2025-01-03 00:31:51
   ↳ [Task 1] Page 25 | Got 200 txs | Reached: 2025-01-01 21:58:03
   ↳ [Task 4] Page 25 | Got 200 txs | Reached: 2025-01-04 19:37:39
   ↳ [Task 2] Page 25 | Got 200 txs | Reached: 2025-01-02 18:52:54
   ↳ [Task 3] Page 25 | Got 200 txs | Reached: 2025-01-03 18:46:09
   ↳ [Task 1] Page 26 | Got 200 txs | Reached: 2025-01-01 22:33:18
   ↳ [Task 4] Page 26 | Got 200 txs | Reached: 2025-01-04 19:56:33
   ↳ [Task 3] Page 26 | Got 200 txs | Reached: 2025-01-03 19:11:36
   ↳ [Task 2] Page 26 | Got 200 txs | Reached: 2025-01-02 19:18:33
   ↳ [Task 1] Page 27 | Got 200 txs | Reached: 2025-01-01 23:07:33
   ↳ [Task 4] Page 27 | Got 200 txs | Reached: 2025-01-04 20:16:24
   ↳ [Task 3] Page 27 | Got 200 txs | Reached: 2025-01-03 19:51:45
   ↳ [Task 2] Page 27 | Got 200 txs | Reached: 2025-01-02 19:49:42
   ↳ [Task 1] Page 28 | Got 200 txs | Reached: 2025-01-01 23:40:54
   ↳ [Task 4] Page 28 | Got 200 txs | Reached: 2025-01-04 21:02:12
   ↳ [Task 1] Page 29 | Got 90 txs | Reached: 2025-01-01 23:58:33
✅ [Task 1] Finished 2025-01-01! Collected 5690 txs.
🧵 [Task 5] Started: 2025-01-05 to 2025-01-05
   ↳ [Task 3] Page 28 | Got 200 txs | Reached: 2025-01-03 20:17:09
   ↳ [Task 2] Page 28 | Got 200 txs | Reached: 2025-01-02 20:25:24
   ↳ [Task 4] Page 29 | Got 200 txs | Reached: 2025-01-04 21:25:30
   ↳ [Task 3] Page 29 | Got 200 txs | Reached: 2025-01-03 20:39:24
   ↳ [Task 5] Page 1 | Got 200 txs | Reached: 2025-01-05 00:27:42
   ↳ [Task 2] Page 29 | Got 200 txs | Reached: 2025-01-02 20:58:48
   ↳ [Task 3] Page 30 | Got 200 txs | Reached: 2025-01-03 20:56:21
   ↳ [Task 5] Page 2 | Got 200 txs | Reached: 2025-01-05 01:03:00
   ↳ [Task 4] Page 30 | Got 200 txs | Reached: 2025-01-04 21:48:15
   ↳ [Task 2] Page 30 | Got 200 txs | Reached: 2025-01-02 21:34:51
   ↳ [Task 3] Page 31 | Got 200 txs | Reached: 2025-01-03 21:17:39
   ↳ [Task 5] Page 3 | Got 200 txs | Reached: 2025-01-05 01:25:39
   ↳ [Task 4] Page 31 | Got 200 txs | Reached: 2025-01-04 22:29:36
   ↳ [Task 2] Page 31 | Got 200 txs | Reached: 2025-01-02 21:58:54
   ↳ [Task 3] Page 32 | Got 200 txs | Reached: 2025-01-03 21:43:42
   ↳ [Task 5] Page 4 | Got 200 txs | Reached: 2025-01-05 01:56:42
   ↳ [Task 4] Page 32 | Got 200 txs | Reached: 2025-01-04 23:02:30
   ↳ [Task 2] Page 32 | Got 200 txs | Reached: 2025-01-02 22:18:54
   ↳ [Task 3] Page 33 | Got 200 txs | Reached: 2025-01-03 22:17:57
   ↳ [Task 5] Page 5 | Got 200 txs | Reached: 2025-01-05 02:24:36
   ↳ [Task 4] Page 33 | Got 200 txs | Reached: 2025-01-04 23:35:33
   ↳ [Task 2] Page 33 | Got 200 txs | Reached: 2025-01-02 22:49:27
   ↳ [Task 3] Page 34 | Got 200 txs | Reached: 2025-01-03 22:55:00
   ↳ [Task 4] Page 34 | Got 121 txs | Reached: 2025-01-04 23:59:54
✅ [Task 4] Finished 2025-01-04! Collected 6721 txs.
🧵 [Task 6] Started: 2025-01-06 to 2025-01-06
   ↳ [Task 5] Page 6 | Got 200 txs | Reached: 2025-01-05 03:05:09
   ↳ [Task 2] Page 34 | Got 200 txs | Reached: 2025-01-02 23:17:00
   ↳ [Task 6] Page 1 | Got 200 txs | Reached: 2025-01-06 00:37:30
   ↳ [Task 3] Page 35 | Got 200 txs | Reached: 2025-01-03 23:43:03
   ↳ [Task 5] Page 7 | Got 200 txs | Reached: 2025-01-05 03:48:18
   ↳ [Task 2] Page 35 | Got 200 txs | Reached: 2025-01-02 23:43:03
   ↳ [Task 6] Page 2 | Got 200 txs | Reached: 2025-01-06 01:13:27
   ↳ [Task 3] Page 36 | Got 113 txs | Reached: 2025-01-03 23:59:57
✅ [Task 3] Finished 2025-01-03! Collected 7113 txs.
🧵 [Task 7] Started: 2025-01-07 to 2025-01-07
   ↳ [Task 5] Page 8 | Got 200 txs | Reached: 2025-01-05 04:21:30
   ↳ [Task 2] Page 36 | Got 149 txs | Reached: 2025-01-02 23:59:36
✅ [Task 2] Finished 2025-01-02! Collected 7149 txs.
🧵 [Task 8] Started: 2025-01-08 to 2025-01-08
   ↳ [Task 7] Page 1 | Got 200 txs | Reached: 2025-01-07 00:35:06
   ↳ [Task 6] Page 3 | Got 200 txs | Reached: 2025-01-06 01:34:54
   ↳ [Task 8] Page 1 | Got 200 txs | Reached: 2025-01-08 00:28:06
   ↳ [Task 5] Page 9 | Got 200 txs | Reached: 2025-01-05 04:56:27
   ↳ [Task 7] Page 2 | Got 200 txs | Reached: 2025-01-07 01:07:09
   ↳ [Task 8] Page 2 | Got 200 txs | Reached: 2025-01-08 01:02:03
   ↳ [Task 6] Page 4 | Got 200 txs | Reached: 2025-01-06 02:06:21
   ↳ [Task 5] Page 10 | Got 200 txs | Reached: 2025-01-05 05:37:39
   ↳ [Task 7] Page 3 | Got 200 txs | Reached: 2025-01-07 01:43:24
   ↳ [Task 6] Page 5 | Got 200 txs | Reached: 2025-01-06 02:41:45
   ↳ [Task 8] Page 3 | Got 200 txs | Reached: 2025-01-08 01:28:09
   ↳ [Task 5] Page 11 | Got 200 txs | Reached: 2025-01-05 06:28:48
   ↳ [Task 7] Page 4 | Got 200 txs | Reached: 2025-01-07 02:27:42
   ↳ [Task 6] Page 6 | Got 200 txs | Reached: 2025-01-06 03:24:12
   ↳ [Task 8] Page 4 | Got 200 txs | Reached: 2025-01-08 02:05:51
   ↳ [Task 5] Page 12 | Got 200 txs | Reached: 2025-01-05 07:14:33
   ↳ [Task 7] Page 5 | Got 200 txs | Reached: 2025-01-07 03:11:00
   ↳ [Task 6] Page 7 | Got 200 txs | Reached: 2025-01-06 03:58:21
   ↳ [Task 8] Page 5 | Got 200 txs | Reached: 2025-01-08 02:41:45
   ↳ [Task 5] Page 13 | Got 200 txs | Reached: 2025-01-05 07:46:54
   ↳ [Task 7] Page 6 | Got 200 txs | Reached: 2025-01-07 03:44:45
   ↳ [Task 6] Page 8 | Got 200 txs | Reached: 2025-01-06 04:43:24
   ↳ [Task 8] Page 6 | Got 200 txs | Reached: 2025-01-08 03:21:00
   ↳ [Task 5] Page 14 | Got 200 txs | Reached: 2025-01-05 08:17:42
   ↳ [Task 7] Page 7 | Got 200 txs | Reached: 2025-01-07 04:18:57
   ↳ [Task 6] Page 9 | Got 200 txs | Reached: 2025-01-06 05:32:15
   ↳ [Task 8] Page 7 | Got 200 txs | Reached: 2025-01-08 03:57:30
   ↳ [Task 5] Page 15 | Got 200 txs | Reached: 2025-01-05 08:48:57
   ↳ [Task 7] Page 8 | Got 200 txs | Reached: 2025-01-07 04:58:30
   ↳ [Task 6] Page 10 | Got 200 txs | Reached: 2025-01-06 06:36:09
   ↳ [Task 8] Page 8 | Got 200 txs | Reached: 2025-01-08 04:37:30
   ↳ [Task 5] Page 16 | Got 200 txs | Reached: 2025-01-05 09:13:36
   ↳ [Task 7] Page 9 | Got 200 txs | Reached: 2025-01-07 05:42:33
   ↳ [Task 6] Page 11 | Got 200 txs | Reached: 2025-01-06 07:05:33
   ↳ [Task 8] Page 9 | Got 200 txs | Reached: 2025-01-08 05:24:51
   ↳ [Task 5] Page 17 | Got 200 txs | Reached: 2025-01-05 09:43:54
   ↳ [Task 7] Page 10 | Got 200 txs | Reached: 2025-01-07 06:18:36
   ↳ [Task 6] Page 12 | Got 200 txs | Reached: 2025-01-06 07:21:24
   ↳ [Task 8] Page 10 | Got 200 txs | Reached: 2025-01-08 05:55:12
   ↳ [Task 5] Page 18 | Got 200 txs | Reached: 2025-01-05 10:09:36
   ↳ [Task 7] Page 11 | Got 200 txs | Reached: 2025-01-07 06:54:09
   ↳ [Task 5] Page 19 | Got 200 txs | Reached: 2025-01-05 11:16:12
   ↳ [Task 6] Page 13 | Got 200 txs | Reached: 2025-01-06 07:40:27
   ↳ [Task 8] Page 11 | Got 200 txs | Reached: 2025-01-08 06:45:45
   ↳ [Task 7] Page 12 | Got 200 txs | Reached: 2025-01-07 07:13:18
   ↳ [Task 8] Page 12 | Got 200 txs | Reached: 2025-01-08 07:09:54
   ↳ [Task 6] Page 14 | Got 200 txs | Reached: 2025-01-06 08:03:18
   ↳ [Task 5] Page 20 | Got 200 txs | Reached: 2025-01-05 12:36:21
   ↳ [Task 7] Page 13 | Got 200 txs | Reached: 2025-01-07 07:34:42
   ↳ [Task 5] Page 21 | Got 200 txs | Reached: 2025-01-05 14:00:45
   ↳ [Task 6] Page 15 | Got 200 txs | Reached: 2025-01-06 08:32:09
   ↳ [Task 8] Page 13 | Got 200 txs | Reached: 2025-01-08 07:36:09
   ↳ [Task 7] Page 14 | Got 200 txs | Reached: 2025-01-07 08:16:18
   ↳ [Task 6] Page 16 | Got 200 txs | Reached: 2025-01-06 09:01:06
   ↳ [Task 5] Page 22 | Got 200 txs | Reached: 2025-01-05 15:08:12
   ↳ [Task 8] Page 14 | Got 200 txs | Reached: 2025-01-08 07:57:33
   ↳ [Task 7] Page 15 | Got 200 txs | Reached: 2025-01-07 08:50:27
   ↳ [Task 5] Page 23 | Got 200 txs | Reached: 2025-01-05 16:11:51
   ↳ [Task 6] Page 17 | Got 200 txs | Reached: 2025-01-06 09:27:48
   ↳ [Task 7] Page 16 | Got 200 txs | Reached: 2025-01-07 09:34:09
   ↳ [Task 8] Page 15 | Got 200 txs | Reached: 2025-01-08 08:31:09
   ↳ [Task 5] Page 24 | Got 200 txs | Reached: 2025-01-05 16:51:36
   ↳ [Task 6] Page 18 | Got 200 txs | Reached: 2025-01-06 09:58:09
   ↳ [Task 7] Page 17 | Got 200 txs | Reached: 2025-01-07 10:04:39
   ↳ [Task 8] Page 16 | Got 200 txs | Reached: 2025-01-08 09:11:12
   ↳ [Task 5] Page 25 | Got 200 txs | Reached: 2025-01-05 17:31:42
   ↳ [Task 7] Page 18 | Got 200 txs | Reached: 2025-01-07 10:47:00
   ↳ [Task 6] Page 19 | Got 200 txs | Reached: 2025-01-06 10:30:06
   ↳ [Task 8] Page 17 | Got 200 txs | Reached: 2025-01-08 09:47:54
   ↳ [Task 5] Page 26 | Got 200 txs | Reached: 2025-01-05 18:20:09
   ↳ [Task 7] Page 19 | Got 200 txs | Reached: 2025-01-07 12:01:36
   ↳ [Task 6] Page 20 | Got 200 txs | Reached: 2025-01-06 11:42:12
   ↳ [Task 8] Page 18 | Got 200 txs | Reached: 2025-01-08 10:20:18
   ↳ [Task 5] Page 27 | Got 200 txs | Reached: 2025-01-05 18:59:54
   ↳ [Task 7] Page 20 | Got 200 txs | Reached: 2025-01-07 13:16:36
   ↳ [Task 6] Page 21 | Got 200 txs | Reached: 2025-01-06 13:15:57
   ↳ [Task 8] Page 19 | Got 200 txs | Reached: 2025-01-08 11:21:06
   ↳ [Task 7] Page 21 | Got 200 txs | Reached: 2025-01-07 14:09:24
   ↳ [Task 5] Page 28 | Got 200 txs | Reached: 2025-01-05 19:39:36
   ↳ [Task 6] Page 22 | Got 200 txs | Reached: 2025-01-06 14:21:24
   ↳ [Task 8] Page 20 | Got 200 txs | Reached: 2025-01-08 12:22:00
   ↳ [Task 6] Page 23 | Got 200 txs | Reached: 2025-01-06 15:10:54
   ↳ [Task 5] Page 29 | Got 200 txs | Reached: 2025-01-05 20:02:57
   ↳ [Task 7] Page 22 | Got 200 txs | Reached: 2025-01-07 15:07:27
   ↳ [Task 8] Page 21 | Got 200 txs | Reached: 2025-01-08 13:11:48
   ↳ [Task 5] Page 30 | Got 200 txs | Reached: 2025-01-05 20:36:42
   ↳ [Task 6] Page 24 | Got 200 txs | Reached: 2025-01-06 15:59:42
   ↳ [Task 7] Page 23 | Got 200 txs | Reached: 2025-01-07 15:43:39
   ↳ [Task 8] Page 22 | Got 200 txs | Reached: 2025-01-08 14:03:24
   ↳ [Task 5] Page 31 | Got 200 txs | Reached: 2025-01-05 20:57:09
   ↳ [Task 6] Page 25 | Got 200 txs | Reached: 2025-01-06 16:34:06
   ↳ [Task 7] Page 24 | Got 200 txs | Reached: 2025-01-07 16:25:24
   ↳ [Task 8] Page 23 | Got 200 txs | Reached: 2025-01-08 14:40:06
   ↳ [Task 5] Page 32 | Got 200 txs | Reached: 2025-01-05 21:24:06
   ↳ [Task 6] Page 26 | Got 200 txs | Reached: 2025-01-06 16:58:42
   ↳ [Task 7] Page 25 | Got 200 txs | Reached: 2025-01-07 16:50:09
   ↳ [Task 8] Page 24 | Got 200 txs | Reached: 2025-01-08 15:23:00
   ↳ [Task 5] Page 33 | Got 200 txs | Reached: 2025-01-05 21:52:48
   ↳ [Task 6] Page 27 | Got 200 txs | Reached: 2025-01-06 17:29:45
   ↳ [Task 8] Page 25 | Got 200 txs | Reached: 2025-01-08 16:02:39
   ↳ [Task 7] Page 26 | Got 200 txs | Reached: 2025-01-07 17:15:06
   ↳ [Task 5] Page 34 | Got 200 txs | Reached: 2025-01-05 22:21:12
   ↳ [Task 6] Page 28 | Got 200 txs | Reached: 2025-01-06 17:53:12
   ↳ [Task 8] Page 26 | Got 200 txs | Reached: 2025-01-08 16:34:54
   ↳ [Task 7] Page 27 | Got 200 txs | Reached: 2025-01-07 17:45:06
   ↳ [Task 5] Page 35 | Got 200 txs | Reached: 2025-01-05 22:56:45
   ↳ [Task 6] Page 29 | Got 200 txs | Reached: 2025-01-06 18:21:03
   ↳ [Task 8] Page 27 | Got 200 txs | Reached: 2025-01-08 16:58:27
   ↳ [Task 7] Page 28 | Got 200 txs | Reached: 2025-01-07 18:16:09
   ↳ [Task 5] Page 36 | Got 200 txs | Reached: 2025-01-05 23:20:15
   ↳ [Task 6] Page 30 | Got 200 txs | Reached: 2025-01-06 18:48:45
   ↳ [Task 8] Page 28 | Got 200 txs | Reached: 2025-01-08 17:30:45
   ↳ [Task 7] Page 29 | Got 200 txs | Reached: 2025-01-07 18:42:15
   ↳ [Task 5] Page 37 | Got 200 txs | Reached: 2025-01-05 23:55:06
   ↳ [Task 6] Page 31 | Got 200 txs | Reached: 2025-01-06 19:13:18
   ↳ [Task 5] Page 38 | Got 31 txs | Reached: 2025-01-05 23:59:57
✅ [Task 5] Finished 2025-01-05! Collected 7431 txs.
🧵 [Task 9] Started: 2025-01-09 to 2025-01-09
   ↳ [Task 7] Page 30 | Got 200 txs | Reached: 2025-01-07 19:12:36
   ↳ [Task 8] Page 29 | Got 200 txs | Reached: 2025-01-08 17:57:21
   ↳ [Task 9] Page 1 | Got 200 txs | Reached: 2025-01-09 00:36:33
   ↳ [Task 6] Page 32 | Got 200 txs | Reached: 2025-01-06 19:37:18
   ↳ [Task 8] Page 30 | Got 200 txs | Reached: 2025-01-08 18:29:12
   ↳ [Task 7] Page 31 | Got 200 txs | Reached: 2025-01-07 19:46:30
   ↳ [Task 9] Page 2 | Got 200 txs | Reached: 2025-01-09 01:04:27
   ↳ [Task 6] Page 33 | Got 200 txs | Reached: 2025-01-06 19:58:51
   ↳ [Task 8] Page 31 | Got 200 txs | Reached: 2025-01-08 18:52:39
   ↳ [Task 7] Page 32 | Got 200 txs | Reached: 2025-01-07 20:09:18
   ↳ [Task 6] Page 34 | Got 200 txs | Reached: 2025-01-06 20:26:30
   ↳ [Task 9] Page 3 | Got 200 txs | Reached: 2025-01-09 01:39:57
   ↳ [Task 7] Page 33 | Got 200 txs | Reached: 2025-01-07 20:33:03
   ↳ [Task 8] Page 32 | Got 200 txs | Reached: 2025-01-08 19:25:39
   ↳ [Task 6] Page 35 | Got 200 txs | Reached: 2025-01-06 20:54:06
   ↳ [Task 9] Page 4 | Got 200 txs | Reached: 2025-01-09 02:11:09
   ↳ [Task 7] Page 34 | Got 200 txs | Reached: 2025-01-07 20:58:18
   ↳ [Task 8] Page 33 | Got 200 txs | Reached: 2025-01-08 19:49:00
   ↳ [Task 6] Page 36 | Got 200 txs | Reached: 2025-01-06 21:10:48
   ↳ [Task 9] Page 5 | Got 200 txs | Reached: 2025-01-09 02:42:54
   ↳ [Task 7] Page 35 | Got 200 txs | Reached: 2025-01-07 21:18:54
   ↳ [Task 8] Page 34 | Got 200 txs | Reached: 2025-01-08 20:09:54
   ↳ [Task 6] Page 37 | Got 200 txs | Reached: 2025-01-06 21:31:12
   ↳ [Task 9] Page 6 | Got 200 txs | Reached: 2025-01-09 03:13:09
   ↳ [Task 7] Page 36 | Got 200 txs | Reached: 2025-01-07 21:37:15
   ↳ [Task 8] Page 35 | Got 200 txs | Reached: 2025-01-08 20:27:54
   ↳ [Task 6] Page 38 | Got 200 txs | Reached: 2025-01-06 21:56:27
   ↳ [Task 9] Page 7 | Got 200 txs | Reached: 2025-01-09 03:52:15
   ↳ [Task 7] Page 37 | Got 200 txs | Reached: 2025-01-07 22:04:18
   ↳ [Task 8] Page 36 | Got 200 txs | Reached: 2025-01-08 20:49:33
   ↳ [Task 6] Page 39 | Got 200 txs | Reached: 2025-01-06 22:22:21
   ↳ [Task 9] Page 8 | Got 200 txs | Reached: 2025-01-09 04:24:27
   ↳ [Task 7] Page 38 | Got 200 txs | Reached: 2025-01-07 22:28:48
   ↳ [Task 8] Page 37 | Got 200 txs | Reached: 2025-01-08 21:06:09
   ↳ [Task 6] Page 40 | Got 200 txs | Reached: 2025-01-06 22:43:12
   ↳ [Task 7] Page 39 | Got 200 txs | Reached: 2025-01-07 23:03:54
   ↳ [Task 9] Page 9 | Got 200 txs | Reached: 2025-01-09 05:08:30
   ↳ [Task 8] Page 38 | Got 200 txs | Reached: 2025-01-08 21:29:51
   ↳ [Task 6] Page 41 | Got 200 txs | Reached: 2025-01-06 23:18:27
   ↳ [Task 9] Page 10 | Got 200 txs | Reached: 2025-01-09 05:45:36
   ↳ [Task 7] Page 40 | Got 200 txs | Reached: 2025-01-07 23:43:15
   ↳ [Task 8] Page 39 | Got 200 txs | Reached: 2025-01-08 21:47:36
   ↳ [Task 7] Page 41 | Got 82 txs | Reached: 2025-01-07 23:59:12
✅ [Task 7] Finished 2025-01-07! Collected 8082 txs.
🧵 [Task 10] Started: 2025-01-10 to 2025-01-10
   ↳ [Task 6] Page 42 | Got 184 txs | Reached: 2025-01-06 23:59:54
✅ [Task 6] Finished 2025-01-06! Collected 8384 txs.
🧵 [Task 11] Started: 2025-01-11 to 2025-01-11
   ↳ [Task 9] Page 11 | Got 200 txs | Reached: 2025-01-09 06:27:24
   ↳ [Task 8] Page 40 | Got 200 txs | Reached: 2025-01-08 22:02:00
   ↳ [Task 10] Page 1 | Got 200 txs | Reached: 2025-01-10 00:35:42
   ↳ [Task 11] Page 1 | Got 200 txs | Reached: 2025-01-11 00:40:12
