🧵 [Task 2] Started: 2024-01-02 to 2024-01-02
🧵 [Task 1] Started: 2024-01-01 to 2024-01-01
🧵 [Task 3] Started: 2024-01-03 to 2024-01-03
🧵 [Task 4] Started: 2024-01-04 to 2024-01-04
   ↳ [Task 2] Page 1 | Got 200 txs | Reached: 2024-01-02 00:23:45
   ↳ [Task 2] Page 26 | Got 200 txs | Reached: 2024-01-02 16:36:48
   ↳ [Task 4] Page 27 | Got 200 txs | Reached: 2024-01-04 15:19:18
   ↳ [Task 1] Page 26 | Got 200 txs | Reached: 2024-01-01 19:51:12
   ↳ [Task 3] Page 27 | Got 200 txs | Reached: 2024-01-03 15:56:18
   ↳ [Task 2] Page 27 | Got 200 txs | Reached: 2024-01-02 17:01:24
   ↳ [Task 1] Page 27 | Got 200 txs | Reached: 2024-01-01 20:15:30
   ↳ [Task 4] Page 28 | Got 200 txs | Reached: 2024-01-04 15:35:12
   ↳ [Task 2] Page 28 | Got 200 txs | Reached: 2024-01-02 17:27:03
   ↳ [Task 3] Page 28 | Got 200 txs | Reached: 2024-01-03 16:20:18
   ↳ [Task 4] Page 29 | Got 200 txs | Reached: 2024-01-04 15:54:06
   ↳ [Task 3] Page 29 | Got 200 txs | Reached: 2024-01-03 16:43:51
   ↳ [Task 1] Page 28 | Got 200 txs | Reached: 2024-01-01 20:47:24
   ↳ [Task 2] Page 29 | Got 200 txs | Reached: 2024-01-02 17:51:33
   ↳ [Task 1] Page 29 | Got 200 txs | Reached: 2024-01-01 21:07:03
   ↳ [Task 3] Page 30 | Got 200 txs | Reached: 2024-01-03 17:09:06
   ↳ [Task 4] Page 30 | Got 200 txs | Reached: 2024-01-04 16:13:24
   ↳ [Task 2] Page 30 | Got 200 txs | Reached: 2024-01-02 18:15:36
   ↳ [Task 3] Page 31 | Got 200 txs | Reached: 2024-01-03 17:31:54
   ↳ [Task 1] Page 30 | Got 200 txs | Reached: 2024-01-01 21:19:27
   ↳ [Task 2] Page 31 | Got 200 txs | Reached: 2024-01-02 18:41:12
   ↳ [Task 4] Page 31 | Got 200 txs | Reached: 2024-01-04 16:28:36
   ↳ [Task 2] Page 32 | Got 200 txs | Reached: 2024-01-02 19:03:48
   ↳ [Task 4] Page 32 | Got 200 txs | Reached: 2024-01-04 16:46:36
   ↳ [Task 1] Page 31 | Got 200 txs | Reached: 2024-01-01 21:45:15
   ↳ [Task 3] Page 32 | Got 200 txs | Reached: 2024-01-03 17:53:12
   ↳ [Task 4] Page 33 | Got 200 txs | Reached: 2024-01-04 17:02:30
   ↳ [Task 1] Page 32 | Got 200 txs | Reached: 2024-01-01 22:12:09
   ↳ [Task 3] Page 33 | Got 200 txs | Reached: 2024-01-03 18:09:00
   ↳ [Task 2] Page 33 | Got 200 txs | Reached: 2024-01-02 19:26:18
   ↳ [Task 1] Page 33 | Got 200 txs | Reached: 2024-01-01 22:38:54
   ↳ [Task 4] Page 34 | Got 200 txs | Reached: 2024-01-04 17:18:48
   ↳ [Task 2] Page 34 | Got 200 txs | Reached: 2024-01-02 19:46:57
   ↳ [Task 3] Page 34 | Got 200 txs | Reached: 2024-01-03 18:25:00
   ↳ [Task 1] Page 34 | Got 200 txs | Reached: 2024-01-01 22:55:54
   ↳ [Task 4] Page 35 | Got 200 txs | Reached: 2024-01-04 17:32:48
   ↳ [Task 2] Page 35 | Got 200 txs | Reached: 2024-01-02 20:07:00
   ↳ [Task 3] Page 35 | Got 200 txs | Reached: 2024-01-03 18:43:18
   ↳ [Task 1] Page 35 | Got 200 txs | Reached: 2024-01-01 23:16:09
   ↳ [Task 4] Page 36 | Got 200 txs | Reached: 2024-01-04 17:47:54
   ↳ [Task 2] Page 36 | Got 200 txs | Reached: 2024-01-02 20:27:48
   ↳ [Task 3] Page 36 | Got 200 txs | Reached: 2024-01-03 19:03:54
   ↳ [Task 1] Page 36 | Got 200 txs | Reached: 2024-01-01 23:43:24
   ↳ [Task 4] Page 37 | Got 200 txs | Reached: 2024-01-04 18:06:03
   ↳ [Task 2] Page 37 | Got 200 txs | Reached: 2024-01-02 20:39:51
   ↳ [Task 3] Page 37 | Got 200 txs | Reached: 2024-01-03 19:20:09
   ↳ [Task 1] Page 37 | Got 144 txs | Reached: 2024-01-01 23:59:57
✅ [Task 1] Finished 2024-01-01! Collected 7344 txs.
🧵 [Task 5] Started: 2024-01-05 to 2024-01-05
   ↳ [Task 4] Page 38 | Got 200 txs | Reached: 2024-01-04 18:26:21
   ↳ [Task 5] Page 1 | Got 200 txs | Reached: 2024-01-05 00:22:18
   ↳ [Task 2] Page 38 | Got 200 txs | Reached: 2024-01-02 20:49:36
   ↳ [Task 3] Page 38 | Got 200 txs | Reached: 2024-01-03 19:37:45
   ↳ [Task 4] Page 39 | Got 200 txs | Reached: 2024-01-04 18:48:42
   ↳ [Task 3] Page 39 | Got 200 txs | Reached: 2024-01-03 19:55:00
   ↳ [Task 5] Page 2 | Got 200 txs | Reached: 2024-01-05 00:50:00
   ↳ [Task 2] Page 39 | Got 200 txs | Reached: 2024-01-02 21:03:45
   ↳ [Task 4] Page 40 | Got 200 txs | Reached: 2024-01-04 19:09:42
   ↳ [Task 2] Page 40 | Got 200 txs | Reached: 2024-01-02 21:19:27
   ↳ [Task 3] Page 40 | Got 200 txs | Reached: 2024-01-03 20:11:24
   ↳ [Task 5] Page 3 | Got 200 txs | Reached: 2024-01-05 01:09:21
   ↳ [Task 4] Page 41 | Got 200 txs | Reached: 2024-01-04 19:25:39
   ↳ [Task 5] Page 4 | Got 200 txs | Reached: 2024-01-05 01:32:09
   ↳ [Task 3] Page 41 | Got 200 txs | Reached: 2024-01-03 20:29:12
   ↳ [Task 2] Page 41 | Got 200 txs | Reached: 2024-01-02 21:38:00
   ↳ [Task 4] Page 42 | Got 200 txs | Reached: 2024-01-04 19:44:06
   ↳ [Task 5] Page 5 | Got 200 txs | Reached: 2024-01-05 01:54:12
   ↳ [Task 2] Page 42 | Got 200 txs | Reached: 2024-01-02 21:57:54
   ↳ [Task 3] Page 42 | Got 200 txs | Reached: 2024-01-03 20:45:57
   ↳ [Task 4] Page 43 | Got 200 txs | Reached: 2024-01-04 20:03:48
   ↳ [Task 5] Page 6 | Got 200 txs | Reached: 2024-01-05 02:18:36
   ↳ [Task 2] Page 43 | Got 200 txs | Reached: 2024-01-02 22:16:00
   ↳ [Task 3] Page 43 | Got 200 txs | Reached: 2024-01-03 21:07:42
   ↳ [Task 4] Page 44 | Got 200 txs | Reached: 2024-01-04 20:24:54
   ↳ [Task 5] Page 7 | Got 200 txs | Reached: 2024-01-05 02:44:42
   ↳ [Task 2] Page 44 | Got 200 txs | Reached: 2024-01-02 22:36:36
   ↳ [Task 3] Page 44 | Got 200 txs | Reached: 2024-01-03 21:21:12
   ↳ [Task 4] Page 45 | Got 200 txs | Reached: 2024-01-04 20:43:54
   ↳ [Task 2] Page 45 | Got 200 txs | Reached: 2024-01-02 22:56:24
   ↳ [Task 3] Page 45 | Got 200 txs | Reached: 2024-01-03 21:36:15
   ↳ [Task 5] Page 8 | Got 200 txs | Reached: 2024-01-05 03:13:48
   ↳ [Task 4] Page 46 | Got 200 txs | Reached: 2024-01-04 21:02:12
   ↳ [Task 2] Page 46 | Got 200 txs | Reached: 2024-01-02 23:15:30
   ↳ [Task 3] Page 46 | Got 200 txs | Reached: 2024-01-03 21:54:00
   ↳ [Task 5] Page 9 | Got 200 txs | Reached: 2024-01-05 03:41:15
   ↳ [Task 4] Page 47 | Got 200 txs | Reached: 2024-01-04 21:10:42
   ↳ [Task 2] Page 47 | Got 200 txs | Reached: 2024-01-02 23:25:21
   ↳ [Task 3] Page 47 | Got 200 txs | Reached: 2024-01-03 22:13:36
   ↳ [Task 5] Page 10 | Got 200 txs | Reached: 2024-01-05 04:09:00
   ↳ [Task 3] Page 48 | Got 200 txs | Reached: 2024-01-03 22:35:00
   ↳ [Task 2] Page 48 | Got 200 txs | Reached: 2024-01-02 23:44:03
   ↳ [Task 5] Page 11 | Got 200 txs | Reached: 2024-01-05 04:43:51
   ↳ [Task 4] Page 48 | Got 200 txs | Reached: 2024-01-04 21:23:54
   ↳ [Task 3] Page 49 | Got 200 txs | Reached: 2024-01-03 22:46:54
   ↳ [Task 5] Page 12 | Got 200 txs | Reached: 2024-01-05 05:17:15
   ↳ [Task 2] Page 49 | Got 178 txs | Reached: 2024-01-02 23:59:54
✅ [Task 2] Finished 2024-01-02! Collected 9778 txs.
🧵 [Task 6] Started: 2024-01-06 to 2024-01-06
   ↳ [Task 4] Page 49 | Got 200 txs | Reached: 2024-01-04 21:42:57
   ↳ [Task 6] Page 1 | Got 200 txs | Reached: 2024-01-06 00:18:45
   ↳ [Task 3] Page 50 | Got 200 txs | Reached: 2024-01-03 23:04:33
   ↳ [Task 5] Page 13 | Got 200 txs | Reached: 2024-01-05 05:54:48
   ↳ [Task 4] Page 50 | Got 200 txs | Reached: 2024-01-04 22:03:33
   ↳ [Task 6] Page 2 | Got 200 txs | Reached: 2024-01-06 00:33:33
   ↳ [Task 3] Page 51 | Got 200 txs | Reached: 2024-01-03 23:21:36
   ↳ [Task 5] Page 14 | Got 200 txs | Reached: 2024-01-05 06:44:09
   ↳ [Task 4] Page 51 | Got 200 txs | Reached: 2024-01-04 22:23:03
   ↳ [Task 3] Page 52 | Got 200 txs | Reached: 2024-01-03 23:43:09
   ↳ [Task 5] Page 15 | Got 200 txs | Reached: 2024-01-05 07:52:09
   ↳ [Task 4] Page 52 | Got 200 txs | Reached: 2024-01-04 22:40:27
   ↳ [Task 6] Page 3 | Got 200 txs | Reached: 2024-01-06 01:03:09
   ↳ [Task 6] Page 4 | Got 200 txs | Reached: 2024-01-06 01:28:15
   ↳ [Task 5] Page 16 | Got 200 txs | Reached: 2024-01-05 09:03:39
   ↳ [Task 3] Page 53 | Got 175 txs | Reached: 2024-01-03 23:59:51
✅ [Task 3] Finished 2024-01-03! Collected 10575 txs.
🧵 [Task 7] Started: 2024-01-07 to 2024-01-07
   ↳ [Task 4] Page 53 | Got 200 txs | Reached: 2024-01-04 22:56:00
   ↳ [Task 7] Page 1 | Got 200 txs | Reached: 2024-01-07 00:24:27
   ↳ [Task 6] Page 5 | Got 200 txs | Reached: 2024-01-06 01:56:33
   ↳ [Task 5] Page 17 | Got 200 txs | Reached: 2024-01-05 10:05:39
   ↳ [Task 4] Page 54 | Got 200 txs | Reached: 2024-01-04 23:13:18
   ↳ [Task 7] Page 2 | Got 200 txs | Reached: 2024-01-07 00:52:27
   ↳ [Task 5] Page 18 | Got 200 txs | Reached: 2024-01-05 11:05:30
   ↳ [Task 6] Page 6 | Got 200 txs | Reached: 2024-01-06 02:23:42
   ↳ [Task 4] Page 55 | Got 200 txs | Reached: 2024-01-04 23:33:51
   ↳ [Task 7] Page 3 | Got 200 txs | Reached: 2024-01-07 01:21:12
   ↳ [Task 5] Page 19 | Got 200 txs | Reached: 2024-01-05 11:58:39
   ↳ [Task 6] Page 7 | Got 200 txs | Reached: 2024-01-06 02:52:09
   ↳ [Task 4] Page 56 | Got 200 txs | Reached: 2024-01-04 23:52:03
   ↳ [Task 7] Page 4 | Got 200 txs | Reached: 2024-01-07 01:49:21
   ↳ [Task 5] Page 20 | Got 200 txs | Reached: 2024-01-05 12:41:42
   ↳ [Task 6] Page 8 | Got 200 txs | Reached: 2024-01-06 03:18:33
   ↳ [Task 4] Page 57 | Got 84 txs | Reached: 2024-01-04 23:59:45
✅ [Task 4] Finished 2024-01-04! Collected 11284 txs.
🧵 [Task 8] Started: 2024-01-08 to 2024-01-08
   ↳ [Task 7] Page 5 | Got 200 txs | Reached: 2024-01-07 02:20:51
   ↳ [Task 8] Page 1 | Got 200 txs | Reached: 2024-01-08 00:16:33
   ↳ [Task 5] Page 21 | Got 200 txs | Reached: 2024-01-05 13:28:39
   ↳ [Task 6] Page 9 | Got 200 txs | Reached: 2024-01-06 03:50:06
   ↳ [Task 7] Page 6 | Got 200 txs | Reached: 2024-01-07 02:52:45
   ↳ [Task 8] Page 2 | Got 200 txs | Reached: 2024-01-08 00:36:48
   ↳ [Task 5] Page 22 | Got 200 txs | Reached: 2024-01-05 14:10:00
   ↳ [Task 7] Page 7 | Got 200 txs | Reached: 2024-01-07 03:27:12
   ↳ [Task 6] Page 10 | Got 200 txs | Reached: 2024-01-06 04:19:54
   ↳ [Task 8] Page 3 | Got 200 txs | Reached: 2024-01-08 01:03:51
   ↳ [Task 7] Page 8 | Got 200 txs | Reached: 2024-01-07 04:03:06
   ↳ [Task 5] Page 23 | Got 200 txs | Reached: 2024-01-05 14:44:33
   ↳ [Task 6] Page 11 | Got 200 txs | Reached: 2024-01-06 04:53:27
   ↳ [Task 8] Page 4 | Got 200 txs | Reached: 2024-01-08 01:27:06
   ↳ [Task 5] Page 24 | Got 200 txs | Reached: 2024-01-05 15:12:57
   ↳ [Task 6] Page 12 | Got 200 txs | Reached: 2024-01-06 05:33:57
   ↳ [Task 7] Page 9 | Got 200 txs | Reached: 2024-01-07 04:43:15
   ↳ [Task 8] Page 5 | Got 200 txs | Reached: 2024-01-08 01:50:45
   ↳ [Task 5] Page 25 | Got 200 txs | Reached: 2024-01-05 15:17:33
   ↳ [Task 6] Page 13 | Got 200 txs | Reached: 2024-01-06 06:24:15
   ↳ [Task 7] Page 10 | Got 200 txs | Reached: 2024-01-07 05:27:09
   ↳ [Task 8] Page 6 | Got 200 txs | Reached: 2024-01-08 02:15:15
   ↳ [Task 6] Page 14 | Got 200 txs | Reached: 2024-01-06 07:11:57
   ↳ [Task 5] Page 26 | Got 200 txs | Reached: 2024-01-05 15:37:03
   ↳ [Task 7] Page 11 | Got 200 txs | Reached: 2024-01-07 06:12:27
   ↳ [Task 8] Page 7 | Got 200 txs | Reached: 2024-01-08 02:41:06
   ↳ [Task 5] Page 27 | Got 200 txs | Reached: 2024-01-05 15:43:18
   ↳ [Task 6] Page 15 | Got 200 txs | Reached: 2024-01-06 08:10:36
   ↳ [Task 7] Page 12 | Got 200 txs | Reached: 2024-01-07 07:09:39
   ↳ [Task 8] Page 8 | Got 200 txs | Reached: 2024-01-08 03:12:45
   ↳ [Task 5] Page 28 | Got 200 txs | Reached: 2024-01-05 15:58:39
   ↳ [Task 6] Page 16 | Got 200 txs | Reached: 2024-01-06 09:23:54
   ↳ [Task 7] Page 13 | Got 200 txs | Reached: 2024-01-07 08:07:36
   ↳ [Task 5] Page 29 | Got 200 txs | Reached: 2024-01-05 16:14:24
   ↳ [Task 8] Page 9 | Got 200 txs | Reached: 2024-01-08 03:40:09
   ↳ [Task 6] Page 17 | Got 200 txs | Reached: 2024-01-06 10:31:48
   ↳ [Task 7] Page 14 | Got 200 txs | Reached: 2024-01-07 09:26:45
   ↳ [Task 6] Page 18 | Got 200 txs | Reached: 2024-01-06 11:46:57
   ↳ [Task 5] Page 30 | Got 200 txs | Reached: 2024-01-05 16:36:30
   ↳ [Task 7] Page 15 | Got 200 txs | Reached: 2024-01-07 10:31:09
   ↳ [Task 8] Page 10 | Got 200 txs | Reached: 2024-01-08 04:06:39
   ↳ [Task 5] Page 31 | Got 200 txs | Reached: 2024-01-05 17:01:15
   ↳ [Task 7] Page 16 | Got 200 txs | Reached: 2024-01-07 11:40:24
   ↳ [Task 6] Page 19 | Got 200 txs | Reached: 2024-01-06 12:42:54
   ↳ [Task 8] Page 11 | Got 200 txs | Reached: 2024-01-08 04:33:33
   ↳ [Task 5] Page 32 | Got 200 txs | Reached: 2024-01-05 17:24:42
   ↳ [Task 7] Page 17 | Got 200 txs | Reached: 2024-01-07 11:51:15
   ↳ [Task 6] Page 20 | Got 200 txs | Reached: 2024-01-06 13:31:15
   ↳ [Task 8] Page 12 | Got 200 txs | Reached: 2024-01-08 05:03:03
   ↳ [Task 5] Page 33 | Got 200 txs | Reached: 2024-01-05 17:46:12
   ↳ [Task 7] Page 18 | Got 200 txs | Reached: 2024-01-07 11:59:15
   ↳ [Task 8] Page 13 | Got 200 txs | Reached: 2024-01-08 05:34:21
   ↳ [Task 6] Page 21 | Got 200 txs | Reached: 2024-01-06 14:14:30
   ↳ [Task 7] Page 19 | Got 200 txs | Reached: 2024-01-07 12:06:12
   ↳ [Task 5] Page 34 | Got 200 txs | Reached: 2024-01-05 18:05:18
   ↳ [Task 6] Page 22 | Got 200 txs | Reached: 2024-01-06 14:44:39
   ↳ [Task 8] Page 14 | Got 200 txs | Reached: 2024-01-08 06:08:36
   ↳ [Task 7] Page 20 | Got 200 txs | Reached: 2024-01-07 12:13:12
   ↳ [Task 5] Page 35 | Got 200 txs | Reached: 2024-01-05 18:28:12
   ↳ [Task 8] Page 15 | Got 200 txs | Reached: 2024-01-08 06:55:24
   ↳ [Task 6] Page 23 | Got 200 txs | Reached: 2024-01-06 14:55:24
   ↳ [Task 7] Page 21 | Got 200 txs | Reached: 2024-01-07 12:49:15
   ↳ [Task 5] Page 36 | Got 200 txs | Reached: 2024-01-05 18:50:33
   ↳ [Task 6] Page 24 | Got 200 txs | Reached: 2024-01-06 15:10:12
   ↳ [Task 5] Page 37 | Got 200 txs | Reached: 2024-01-05 19:13:45
   ↳ [Task 8] Page 16 | Got 200 txs | Reached: 2024-01-08 07:56:57
   ↳ [Task 7] Page 22 | Got 200 txs | Reached: 2024-01-07 13:38:36
   ↳ [Task 6] Page 25 | Got 200 txs | Reached: 2024-01-06 15:45:00
   ↳ [Task 8] Page 17 | Got 200 txs | Reached: 2024-01-08 08:59:27
   ↳ [Task 5] Page 38 | Got 200 txs | Reached: 2024-01-05 19:34:51
   ↳ [Task 7] Page 23 | Got 200 txs | Reached: 2024-01-07 14:26:36
   ↳ [Task 6] Page 26 | Got 200 txs | Reached: 2024-01-06 16:07:15
   ↳ [Task 8] Page 18 | Got 200 txs | Reached: 2024-01-08 09:52:09
   ↳ [Task 5] Page 39 | Got 200 txs | Reached: 2024-01-05 19:54:15
   ↳ [Task 7] Page 24 | Got 200 txs | Reached: 2024-01-07 15:09:09
   ↳ [Task 6] Page 27 | Got 200 txs | Reached: 2024-01-06 16:31:39
   ↳ [Task 5] Page 40 | Got 200 txs | Reached: 2024-01-05 20:17:48
   ↳ [Task 7] Page 25 | Got 200 txs | Reached: 2024-01-07 15:13:39
   ↳ [Task 8] Page 19 | Got 200 txs | Reached: 2024-01-08 10:38:30
   ↳ [Task 6] Page 28 | Got 200 txs | Reached: 2024-01-06 17:00:48
   ↳ [Task 5] Page 41 | Got 200 txs | Reached: 2024-01-05 20:38:48
   ↳ [Task 7] Page 26 | Got 200 txs | Reached: 2024-01-07 15:18:03
   ↳ [Task 8] Page 20 | Got 200 txs | Reached: 2024-01-08 11:27:06
   ↳ [Task 6] Page 29 | Got 200 txs | Reached: 2024-01-06 17:31:30
   ↳ [Task 8] Page 21 | Got 200 txs | Reached: 2024-01-08 12:20:03
