🧵 [Task 1] Started: 2025-01-01 to 2025-01-01
🧵 [Task 2] Started: 2025-01-02 to 2025-01-02
🧵 [Task 3] Started: 2025-01-03 to 2025-01-03
🧵 [Task 4] Started: 2025-01-04 to 2025-01-04
   ↳ [Task 4] Page 1 | Got 200 txs | Reached: 2025-01-04 00:22:42
   ↳ [Task 4] Page 12 | Got 200 txs | Reached: 2025-01-04 05:40:42
   ↳ [Task 2] Page 12 | Got 200 txs | Reached: 2025-01-02 04:23:33
   ↳ [Task 1] Page 12 | Got 200 txs | Reached: 2025-01-01 04:05:48
   ↳ [Task 3] Page 13 | Got 200 txs | Reached: 2025-01-03 04:14:30
   ↳ [Task 4] Page 13 | Got 200 txs | Reached: 2025-01-04 06:21:48
   ↳ [Task 2] Page 13 | Got 200 txs | Reached: 2025-01-02 04:43:48
   ↳ [Task 3] Page 14 | Got 200 txs | Reached: 2025-01-03 04:36:09
   ↳ [Task 1] Page 13 | Got 200 txs | Reached: 2025-01-01 04:37:45
   ↳ [Task 2] Page 14 | Got 200 txs | Reached: 2025-01-02 05:06:36
   ↳ [Task 4] Page 14 | Got 200 txs | Reached: 2025-01-04 07:03:24
   ↳ [Task 3] Page 15 | Got 200 txs | Reached: 2025-01-03 05:01:30
   ↳ [Task 1] Page 14 | Got 200 txs | Reached: 2025-01-01 05:11:15
   ↳ [Task 2] Page 15 | Got 200 txs | Reached: 2025-01-02 05:29:57
   ↳ [Task 4] Page 15 | Got 200 txs | Reached: 2025-01-04 07:41:03
   ↳ [Task 3] Page 16 | Got 200 txs | Reached: 2025-01-03 05:21:06
   ↳ [Task 1] Page 15 | Got 200 txs | Reached: 2025-01-01 05:38:36
   ↳ [Task 2] Page 16 | Got 200 txs | Reached: 2025-01-02 05:58:15
   ↳ [Task 4] Page 16 | Got 200 txs | Reached: 2025-01-04 08:29:33
   ↳ [Task 3] Page 17 | Got 200 txs | Reached: 2025-01-03 05:47:24
   ↳ [Task 1] Page 16 | Got 200 txs | Reached: 2025-01-01 06:11:12
   ↳ [Task 2] Page 17 | Got 200 txs | Reached: 2025-01-02 06:31:15
   ↳ [Task 4] Page 17 | Got 200 txs | Reached: 2025-01-04 09:23:15
   ↳ [Task 3] Page 18 | Got 200 txs | Reached: 2025-01-03 06:13:12
   ↳ [Task 1] Page 17 | Got 200 txs | Reached: 2025-01-01 06:47:30
   ↳ [Task 2] Page 18 | Got 200 txs | Reached: 2025-01-02 07:02:24
   ↳ [Task 1] Page 18 | Got 200 txs | Reached: 2025-01-01 07:15:51
   ↳ [Task 3] Page 19 | Got 200 txs | Reached: 2025-01-03 06:36:48
   ↳ [Task 4] Page 18 | Got 200 txs | Reached: 2025-01-04 10:37:27
   ↳ [Task 2] Page 19 | Got 200 txs | Reached: 2025-01-02 07:13:27
   ↳ [Task 1] Page 19 | Got 200 txs | Reached: 2025-01-01 07:44:12
   ↳ [Task 4] Page 19 | Got 200 txs | Reached: 2025-01-04 11:35:06
   ↳ [Task 3] Page 20 | Got 200 txs | Reached: 2025-01-03 07:04:06
   ↳ [Task 2] Page 20 | Got 200 txs | Reached: 2025-01-02 07:25:18
   ↳ [Task 4] Page 20 | Got 200 txs | Reached: 2025-01-04 12:37:24
   ↳ [Task 3] Page 21 | Got 200 txs | Reached: 2025-01-03 07:37:48
   ↳ [Task 1] Page 20 | Got 200 txs | Reached: 2025-01-01 08:19:15
   ↳ [Task 2] Page 21 | Got 200 txs | Reached: 2025-01-02 07:38:36
   ↳ [Task 1] Page 21 | Got 200 txs | Reached: 2025-01-01 08:49:18
   ↳ [Task 4] Page 21 | Got 200 txs | Reached: 2025-01-04 13:36:00
   ↳ [Task 3] Page 22 | Got 200 txs | Reached: 2025-01-03 08:19:39
   ↳ [Task 2] Page 22 | Got 200 txs | Reached: 2025-01-02 07:50:27
   ↳ [Task 3] Page 23 | Got 200 txs | Reached: 2025-01-03 09:04:18
   ↳ [Task 1] Page 22 | Got 200 txs | Reached: 2025-01-01 09:19:21
   ↳ [Task 4] Page 22 | Got 200 txs | Reached: 2025-01-04 14:23:27
   ↳ [Task 2] Page 23 | Got 200 txs | Reached: 2025-01-02 08:02:42
   ↳ [Task 4] Page 23 | Got 200 txs | Reached: 2025-01-04 15:13:51
   ↳ [Task 1] Page 23 | Got 200 txs | Reached: 2025-01-01 09:50:51
   ↳ [Task 3] Page 24 | Got 200 txs | Reached: 2025-01-03 09:50:00
   ↳ [Task 2] Page 24 | Got 200 txs | Reached: 2025-01-02 08:12:45
   ↳ [Task 3] Page 25 | Got 200 txs | Reached: 2025-01-03 10:40:36
   ↳ [Task 4] Page 24 | Got 200 txs | Reached: 2025-01-04 15:56:36
   ↳ [Task 1] Page 24 | Got 200 txs | Reached: 2025-01-01 10:24:39
   ↳ [Task 2] Page 25 | Got 200 txs | Reached: 2025-01-02 08:26:39
   ↳ [Task 3] Page 26 | Got 200 txs | Reached: 2025-01-03 11:30:21
   ↳ [Task 1] Page 25 | Got 200 txs | Reached: 2025-01-01 10:53:30
   ↳ [Task 4] Page 25 | Got 200 txs | Reached: 2025-01-04 16:37:57
   ↳ [Task 2] Page 26 | Got 200 txs | Reached: 2025-01-02 08:38:24
   ↳ [Task 3] Page 27 | Got 200 txs | Reached: 2025-01-03 12:21:27
   ↳ [Task 1] Page 26 | Got 200 txs | Reached: 2025-01-01 11:28:45
   ↳ [Task 4] Page 26 | Got 200 txs | Reached: 2025-01-04 17:09:21
   ↳ [Task 2] Page 27 | Got 200 txs | Reached: 2025-01-02 08:49:42
   ↳ [Task 3] Page 28 | Got 200 txs | Reached: 2025-01-03 12:38:18
   ↳ [Task 1] Page 27 | Got 200 txs | Reached: 2025-01-01 11:50:42
   ↳ [Task 4] Page 27 | Got 200 txs | Reached: 2025-01-04 17:37:57
   ↳ [Task 2] Page 28 | Got 200 txs | Reached: 2025-01-02 09:04:03
   ↳ [Task 3] Page 29 | Got 200 txs | Reached: 2025-01-03 12:55:15
   ↳ [Task 1] Page 28 | Got 200 txs | Reached: 2025-01-01 12:07:45
   ↳ [Task 4] Page 28 | Got 200 txs | Reached: 2025-01-04 18:15:42
   ↳ [Task 2] Page 29 | Got 200 txs | Reached: 2025-01-02 09:16:36
   ↳ [Task 3] Page 30 | Got 200 txs | Reached: 2025-01-03 13:26:27
   ↳ [Task 1] Page 29 | Got 200 txs | Reached: 2025-01-01 12:34:24
   ↳ [Task 4] Page 29 | Got 200 txs | Reached: 2025-01-04 18:50:24
   ↳ [Task 2] Page 30 | Got 200 txs | Reached: 2025-01-02 09:28:24
   ↳ [Task 3] Page 31 | Got 200 txs | Reached: 2025-01-03 14:06:18
   ↳ [Task 1] Page 30 | Got 200 txs | Reached: 2025-01-01 12:53:12
   ↳ [Task 2] Page 31 | Got 200 txs | Reached: 2025-01-02 09:41:18
   ↳ [Task 4] Page 30 | Got 200 txs | Reached: 2025-01-04 19:24:24
   ↳ [Task 3] Page 32 | Got 200 txs | Reached: 2025-01-03 14:37:39
   ↳ [Task 1] Page 31 | Got 200 txs | Reached: 2025-01-01 13:13:06
   ↳ [Task 2] Page 32 | Got 200 txs | Reached: 2025-01-02 09:51:57
   ↳ [Task 4] Page 31 | Got 200 txs | Reached: 2025-01-04 19:36:18
   ↳ [Task 3] Page 33 | Got 200 txs | Reached: 2025-01-03 15:10:03
   ↳ [Task 2] Page 33 | Got 200 txs | Reached: 2025-01-02 10:03:42
   ↳ [Task 1] Page 32 | Got 200 txs | Reached: 2025-01-01 13:35:15
   ↳ [Task 4] Page 32 | Got 200 txs | Reached: 2025-01-04 19:40:45
   ↳ [Task 3] Page 34 | Got 200 txs | Reached: 2025-01-03 15:40:33
   ↳ [Task 1] Page 33 | Got 200 txs | Reached: 2025-01-01 13:48:48
   ↳ [Task 2] Page 34 | Got 200 txs | Reached: 2025-01-02 10:18:21
   ↳ [Task 4] Page 33 | Got 200 txs | Reached: 2025-01-04 19:42:45
   ↳ [Task 3] Page 35 | Got 200 txs | Reached: 2025-01-03 16:11:15
   ↳ [Task 1] Page 34 | Got 200 txs | Reached: 2025-01-01 14:04:03
   ↳ [Task 2] Page 35 | Got 200 txs | Reached: 2025-01-02 10:31:57
   ↳ [Task 4] Page 34 | Got 200 txs | Reached: 2025-01-04 19:47:39
   ↳ [Task 3] Page 36 | Got 200 txs | Reached: 2025-01-03 16:38:15
   ↳ [Task 1] Page 35 | Got 200 txs | Reached: 2025-01-01 14:21:51
   ↳ [Task 3] Page 37 | Got 200 txs | Reached: 2025-01-03 17:04:27
   ↳ [Task 4] Page 35 | Got 200 txs | Reached: 2025-01-04 19:51:27
   ↳ [Task 2] Page 36 | Got 200 txs | Reached: 2025-01-02 10:47:24
   ↳ [Task 1] Page 36 | Got 200 txs | Reached: 2025-01-01 14:46:39
   ↳ [Task 3] Page 38 | Got 200 txs | Reached: 2025-01-03 17:35:57
   ↳ [Task 2] Page 37 | Got 200 txs | Reached: 2025-01-02 11:01:15
   ↳ [Task 4] Page 36 | Got 200 txs | Reached: 2025-01-04 19:54:39
   ↳ [Task 1] Page 37 | Got 200 txs | Reached: 2025-01-01 15:15:12
   ↳ [Task 3] Page 39 | Got 200 txs | Reached: 2025-01-03 18:08:48
   ↳ [Task 2] Page 38 | Got 200 txs | Reached: 2025-01-02 11:18:21
   ↳ [Task 4] Page 37 | Got 200 txs | Reached: 2025-01-04 19:59:54
   ↳ [Task 1] Page 38 | Got 200 txs | Reached: 2025-01-01 15:44:15
   ↳ [Task 3] Page 40 | Got 200 txs | Reached: 2025-01-03 18:31:36
   ↳ [Task 2] Page 39 | Got 200 txs | Reached: 2025-01-02 11:35:27
   ↳ [Task 4] Page 38 | Got 200 txs | Reached: 2025-01-04 20:03:06
   ↳ [Task 1] Page 39 | Got 200 txs | Reached: 2025-01-01 16:05:36
   ↳ [Task 3] Page 41 | Got 200 txs | Reached: 2025-01-03 18:53:30
   ↳ [Task 2] Page 40 | Got 200 txs | Reached: 2025-01-02 11:53:21
   ↳ [Task 4] Page 39 | Got 200 txs | Reached: 2025-01-04 20:06:27
   ↳ [Task 1] Page 40 | Got 200 txs | Reached: 2025-01-01 16:27:09
   ↳ [Task 2] Page 41 | Got 200 txs | Reached: 2025-01-02 12:09:15
   ↳ [Task 3] Page 42 | Got 200 txs | Reached: 2025-01-03 19:20:09
   ↳ [Task 4] Page 40 | Got 200 txs | Reached: 2025-01-04 20:11:09
   ↳ [Task 1] Page 41 | Got 200 txs | Reached: 2025-01-01 16:50:30
   ↳ [Task 2] Page 42 | Got 200 txs | Reached: 2025-01-02 12:25:15
   ↳ [Task 3] Page 43 | Got 200 txs | Reached: 2025-01-03 19:32:45
   ↳ [Task 4] Page 41 | Got 200 txs | Reached: 2025-01-04 20:34:24
   ↳ [Task 1] Page 42 | Got 200 txs | Reached: 2025-01-01 17:09:03
   ↳ [Task 2] Page 43 | Got 200 txs | Reached: 2025-01-02 12:39:42
   ↳ [Task 3] Page 44 | Got 200 txs | Reached: 2025-01-03 19:37:27
   ↳ [Task 4] Page 42 | Got 200 txs | Reached: 2025-01-04 21:04:45
   ↳ [Task 1] Page 43 | Got 200 txs | Reached: 2025-01-01 17:27:27
   ↳ [Task 2] Page 44 | Got 200 txs | Reached: 2025-01-02 12:54:21
   ↳ [Task 3] Page 45 | Got 200 txs | Reached: 2025-01-03 19:41:09
   ↳ [Task 1] Page 44 | Got 200 txs | Reached: 2025-01-01 17:37:51
   ↳ [Task 4] Page 43 | Got 200 txs | Reached: 2025-01-04 21:34:18
   ↳ [Task 2] Page 45 | Got 200 txs | Reached: 2025-01-02 13:09:36
   ↳ [Task 3] Page 46 | Got 200 txs | Reached: 2025-01-03 19:46:42
   ↳ [Task 1] Page 45 | Got 200 txs | Reached: 2025-01-01 17:42:33
   ↳ [Task 4] Page 44 | Got 200 txs | Reached: 2025-01-04 22:07:57
   ↳ [Task 2] Page 46 | Got 200 txs | Reached: 2025-01-02 13:26:39
   ↳ [Task 3] Page 47 | Got 200 txs | Reached: 2025-01-03 19:52:27
   ↳ [Task 1] Page 46 | Got 200 txs | Reached: 2025-01-01 17:56:42
   ↳ [Task 4] Page 45 | Got 200 txs | Reached: 2025-01-04 22:35:33
   ↳ [Task 2] Page 47 | Got 200 txs | Reached: 2025-01-02 13:41:45
   ↳ [Task 3] Page 48 | Got 200 txs | Reached: 2025-01-03 19:57:51
   ↳ [Task 1] Page 47 | Got 200 txs | Reached: 2025-01-01 18:19:21
   ↳ [Task 2] Page 48 | Got 200 txs | Reached: 2025-01-02 13:59:00
   ↳ [Task 4] Page 46 | Got 200 txs | Reached: 2025-01-04 23:02:39
   ↳ [Task 3] Page 49 | Got 200 txs | Reached: 2025-01-03 20:07:06
   ↳ [Task 1] Page 48 | Got 200 txs | Reached: 2025-01-01 18:29:36
   ↳ [Task 2] Page 49 | Got 200 txs | Reached: 2025-01-02 14:15:15
   ↳ [Task 4] Page 47 | Got 200 txs | Reached: 2025-01-04 23:25:21
   ↳ [Task 3] Page 50 | Got 200 txs | Reached: 2025-01-03 20:14:15
   ↳ [Task 1] Page 49 | Got 200 txs | Reached: 2025-01-01 18:35:45
   ↳ [Task 2] Page 50 | Got 200 txs | Reached: 2025-01-02 14:27:27
   ↳ [Task 4] Page 48 | Got 194 txs | Reached: 2025-01-04 23:59:48
✅ [Task 4] Finished 2025-01-04! Collected 9594 txs.
🧵 [Task 5] Started: 2025-01-05 to 2025-01-05
   ↳ [Task 3] Page 51 | Got 200 txs | Reached: 2025-01-03 20:16:48
   ↳ [Task 1] Page 50 | Got 200 txs | Reached: 2025-01-01 18:56:06
   ↳ [Task 5] Page 1 | Got 200 txs | Reached: 2025-01-05 00:30:24
   ↳ [Task 2] Page 51 | Got 200 txs | Reached: 2025-01-02 14:37:09
   ↳ [Task 5] Page 2 | Got 200 txs | Reached: 2025-01-05 00:59:36
   ↳ [Task 1] Page 51 | Got 200 txs | Reached: 2025-01-01 19:16:15
   ↳ [Task 3] Page 52 | Got 200 txs | Reached: 2025-01-03 20:18:18
   ↳ [Task 2] Page 52 | Got 200 txs | Reached: 2025-01-02 14:47:54
   ↳ [Task 1] Page 52 | Got 200 txs | Reached: 2025-01-01 19:32:15
   ↳ [Task 5] Page 3 | Got 200 txs | Reached: 2025-01-05 01:39:30
   ↳ [Task 3] Page 53 | Got 200 txs | Reached: 2025-01-03 20:21:15
   ↳ [Task 2] Page 53 | Got 200 txs | Reached: 2025-01-02 15:03:39
   ↳ [Task 1] Page 53 | Got 200 txs | Reached: 2025-01-01 19:34:51
   ↳ [Task 5] Page 4 | Got 200 txs | Reached: 2025-01-05 02:19:54
   ↳ [Task 2] Page 54 | Got 200 txs | Reached: 2025-01-02 15:23:06
   ↳ [Task 3] Page 54 | Got 200 txs | Reached: 2025-01-03 20:23:48
   ↳ [Task 1] Page 54 | Got 200 txs | Reached: 2025-01-01 19:37:45
   ↳ [Task 5] Page 5 | Got 200 txs | Reached: 2025-01-05 02:59:30
   ↳ [Task 2] Page 55 | Got 200 txs | Reached: 2025-01-02 15:40:33
   ↳ [Task 3] Page 55 | Got 200 txs | Reached: 2025-01-03 20:28:00
   ↳ [Task 1] Page 55 | Got 200 txs | Reached: 2025-01-01 19:40:54
   ↳ [Task 5] Page 6 | Got 200 txs | Reached: 2025-01-05 03:46:39
   ↳ [Task 2] Page 56 | Got 200 txs | Reached: 2025-01-02 15:56:30
   ↳ [Task 3] Page 56 | Got 200 txs | Reached: 2025-01-03 20:32:42
   ↳ [Task 1] Page 56 | Got 200 txs | Reached: 2025-01-01 19:46:30
   ↳ [Task 2] Page 57 | Got 200 txs | Reached: 2025-01-02 16:11:42
   ↳ [Task 5] Page 7 | Got 200 txs | Reached: 2025-01-05 04:32:00
   ↳ [Task 3] Page 57 | Got 200 txs | Reached: 2025-01-03 20:37:24
   ↳ [Task 1] Page 57 | Got 200 txs | Reached: 2025-01-01 20:05:36
   ↳ [Task 2] Page 58 | Got 200 txs | Reached: 2025-01-02 16:27:30
   ↳ [Task 5] Page 8 | Got 200 txs | Reached: 2025-01-05 05:32:30
   ↳ [Task 3] Page 58 | Got 200 txs | Reached: 2025-01-03 20:40:54
   ↳ [Task 2] Page 59 | Got 200 txs | Reached: 2025-01-02 16:37:48
   ↳ [Task 1] Page 58 | Got 200 txs | Reached: 2025-01-01 20:11:24
   ↳ [Task 5] Page 9 | Got 200 txs | Reached: 2025-01-05 06:31:21
   ↳ [Task 3] Page 59 | Got 200 txs | Reached: 2025-01-03 20:44:09
   ↳ [Task 2] Page 60 | Got 200 txs | Reached: 2025-01-02 16:53:27
   ↳ [Task 5] Page 10 | Got 200 txs | Reached: 2025-01-05 07:20:21
   ↳ [Task 1] Page 59 | Got 200 txs | Reached: 2025-01-01 20:25:33
   ↳ [Task 3] Page 60 | Got 200 txs | Reached: 2025-01-03 20:46:03
   ↳ [Task 2] Page 61 | Got 200 txs | Reached: 2025-01-02 17:06:12
   ↳ [Task 5] Page 11 | Got 200 txs | Reached: 2025-01-05 07:47:15
   ↳ [Task 1] Page 60 | Got 200 txs | Reached: 2025-01-01 20:44:21
   ↳ [Task 3] Page 61 | Got 200 txs | Reached: 2025-01-03 20:57:00
   ↳ [Task 2] Page 62 | Got 200 txs | Reached: 2025-01-02 17:12:24
   ↳ [Task 5] Page 12 | Got 200 txs | Reached: 2025-01-05 08:20:09
   ↳ [Task 1] Page 61 | Got 200 txs | Reached: 2025-01-01 21:00:33
   ↳ [Task 3] Page 62 | Got 200 txs | Reached: 2025-01-03 21:22:24
   ↳ [Task 2] Page 63 | Got 200 txs | Reached: 2025-01-02 17:19:33
   ↳ [Task 5] Page 13 | Got 200 txs | Reached: 2025-01-05 08:52:06
   ↳ [Task 1] Page 62 | Got 200 txs | Reached: 2025-01-01 21:13:21
   ↳ [Task 2] Page 64 | Got 200 txs | Reached: 2025-01-02 17:30:09
   ↳ [Task 3] Page 63 | Got 200 txs | Reached: 2025-01-03 21:48:18
   ↳ [Task 5] Page 14 | Got 200 txs | Reached: 2025-01-05 09:19:24
   ↳ [Task 1] Page 63 | Got 200 txs | Reached: 2025-01-01 21:25:36
   ↳ [Task 5] Page 15 | Got 200 txs | Reached: 2025-01-05 09:34:39
   ↳ [Task 3] Page 64 | Got 200 txs | Reached: 2025-01-03 22:16:18
   ↳ [Task 2] Page 65 | Got 200 txs | Reached: 2025-01-02 17:44:42
   ↳ [Task 1] Page 64 | Got 200 txs | Reached: 2025-01-01 21:39:48
   ↳ [Task 2] Page 66 | Got 200 txs | Reached: 2025-01-02 17:58:24
   ↳ [Task 5] Page 16 | Got 200 txs | Reached: 2025-01-05 09:59:15
   ↳ [Task 3] Page 65 | Got 200 txs | Reached: 2025-01-03 22:37:21
   ↳ [Task 1] Page 65 | Got 200 txs | Reached: 2025-01-01 21:56:21
   ↳ [Task 5] Page 17 | Got 200 txs | Reached: 2025-01-05 10:33:09
   ↳ [Task 2] Page 67 | Got 200 txs | Reached: 2025-01-02 18:12:54
   ↳ [Task 3] Page 66 | Got 200 txs | Reached: 2025-01-03 22:58:54
   ↳ [Task 1] Page 66 | Got 200 txs | Reached: 2025-01-01 22:13:45
   ↳ [Task 2] Page 68 | Got 200 txs | Reached: 2025-01-02 18:19:33
   ↳ [Task 5] Page 18 | Got 200 txs | Reached: 2025-01-05 11:57:18
   ↳ [Task 1] Page 67 | Got 200 txs | Reached: 2025-01-01 22:27:42
   ↳ [Task 3] Page 67 | Got 200 txs | Reached: 2025-01-03 23:18:51
   ↳ [Task 2] Page 69 | Got 200 txs | Reached: 2025-01-02 18:27:45
   ↳ [Task 3] Page 68 | Got 200 txs | Reached: 2025-01-03 23:47:51
   ↳ [Task 1] Page 68 | Got 200 txs | Reached: 2025-01-01 22:42:27
   ↳ [Task 5] Page 19 | Got 200 txs | Reached: 2025-01-05 13:06:12
   ↳ [Task 3] Page 69 | Got 108 txs | Reached: 2025-01-03 23:59:42
✅ [Task 3] Finished 2025-01-03! Collected 13708 txs.
🧵 [Task 6] Started: 2025-01-06 to 2025-01-06
   ↳ [Task 2] Page 70 | Got 200 txs | Reached: 2025-01-02 18:42:15
   ↳ [Task 1] Page 69 | Got 200 txs | Reached: 2025-01-01 23:01:33
   ↳ [Task 5] Page 20 | Got 200 txs | Reached: 2025-01-05 14:15:06
   ↳ [Task 6] Page 1 | Got 200 txs | Reached: 2025-01-06 00:36:30
   ↳ [Task 1] Page 70 | Got 200 txs | Reached: 2025-01-01 23:18:48
   ↳ [Task 2] Page 71 | Got 200 txs | Reached: 2025-01-02 18:53:27
   ↳ [Task 5] Page 21 | Got 200 txs | Reached: 2025-01-05 15:07:27
   ↳ [Task 6] Page 2 | Got 200 txs | Reached: 2025-01-06 01:16:27
   ↳ [Task 5] Page 22 | Got 200 txs | Reached: 2025-01-05 15:54:48
   ↳ [Task 1] Page 71 | Got 200 txs | Reached: 2025-01-01 23:25:15
   ↳ [Task 2] Page 72 | Got 200 txs | Reached: 2025-01-02 19:06:24
   ↳ [Task 6] Page 3 | Got 200 txs | Reached: 2025-01-06 01:58:33
   ↳ [Task 1] Page 72 | Got 200 txs | Reached: 2025-01-01 23:38:36
   ↳ [Task 5] Page 23 | Got 200 txs | Reached: 2025-01-05 16:37:51
   ↳ [Task 2] Page 73 | Got 200 txs | Reached: 2025-01-02 19:21:18
   ↳ [Task 6] Page 4 | Got 200 txs | Reached: 2025-01-06 02:36:00
   ↳ [Task 1] Page 73 | Got 200 txs | Reached: 2025-01-01 23:56:54
   ↳ [Task 5] Page 24 | Got 200 txs | Reached: 2025-01-05 17:21:39
   ↳ [Task 2] Page 74 | Got 200 txs | Reached: 2025-01-02 19:32:21
   ↳ [Task 1] Page 74 | Got 33 txs | Reached: 2025-01-01 23:59:57
✅ [Task 1] Finished 2025-01-01! Collected 14633 txs.
🧵 [Task 7] Started: 2025-01-07 to 2025-01-07
   ↳ [Task 6] Page 5 | Got 200 txs | Reached: 2025-01-06 03:19:54
   ↳ [Task 2] Page 75 | Got 200 txs | Reached: 2025-01-02 19:35:42
   ↳ [Task 7] Page 1 | Got 200 txs | Reached: 2025-01-07 00:18:36
   ↳ [Task 5] Page 25 | Got 200 txs | Reached: 2025-01-05 17:54:00
   ↳ [Task 6] Page 6 | Got 200 txs | Reached: 2025-01-06 04:06:12
   ↳ [Task 2] Page 76 | Got 200 txs | Reached: 2025-01-02 19:40:00
   ↳ [Task 7] Page 2 | Got 200 txs | Reached: 2025-01-07 00:39:24
   ↳ [Task 5] Page 26 | Got 200 txs | Reached: 2025-01-05 18:36:33
   ↳ [Task 7] Page 3 | Got 200 txs | Reached: 2025-01-07 01:04:33
   ↳ [Task 6] Page 7 | Got 200 txs | Reached: 2025-01-06 04:46:51
   ↳ [Task 2] Page 77 | Got 200 txs | Reached: 2025-01-02 19:50:06
   ↳ [Task 5] Page 27 | Got 200 txs | Reached: 2025-01-05 19:18:27
   ↳ [Task 7] Page 4 | Got 200 txs | Reached: 2025-01-07 01:29:30
   ↳ [Task 6] Page 8 | Got 200 txs | Reached: 2025-01-06 05:03:45
   ↳ [Task 2] Page 78 | Got 200 txs | Reached: 2025-01-02 19:57:12
   ↳ [Task 5] Page 28 | Got 200 txs | Reached: 2025-01-05 19:34:27
   ↳ [Task 7] Page 5 | Got 200 txs | Reached: 2025-01-07 01:48:27
   ↳ [Task 2] Page 79 | Got 200 txs | Reached: 2025-01-02 20:02:27
   ↳ [Task 6] Page 9 | Got 200 txs | Reached: 2025-01-06 06:03:30
   ↳ [Task 5] Page 29 | Got 200 txs | Reached: 2025-01-05 19:47:18
   ↳ [Task 7] Page 6 | Got 200 txs | Reached: 2025-01-07 02:09:09
